Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
HCC827ER_EGFR	P54652	HSPA2	22285|43571|0|0	320	80.00	4	25433|31002|60120|18904|282|35191|60271|422|0|0|0|0|0|0|0|0|0|0|0|0	0.50	1.00	0.50	1.00	0.50	-inf	0.05	0.33	
HCC827ER_EGFR	Q8TEM1	NUP210	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|56004|15313	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	P62993	GRB2	0|28317|0|0	28317	7079.25	4	16592|36576|13296|60397|0|0|0|0|0|0|0|0|47272|21188|26188|36318|21060|20812|63804|0	0.25	1.00	0.25	1.00	0.25	-inf	3.95	0.50	
HCC827ER_EGFR	P00533	EGFR	49504|35537|0|0	19505	4876.25	4	39973|4421|35243|9455|0|0|0|0|0|0|0|0|61870|30831|33069|11758|0|0|0|0	0.50	1.00	0.50	1.00	0.50	-inf	3.25	0.30	
HCC827ER_EGFR	Q15751	HERC1	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.93	0.00	0.55	
HCC827ER_EGFR	P68363	TUBA1B	0|0|0|0	0	0.00	4	7419|4284|64406|20180|0|0|43737|0|0|0|0|0|0|0|9936|56119|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q71U36	TUBA1A	0|0|0|0	0	0.00	4	64268|59588|37197|47616|0|0|23512|0|0|0|0|0|0|0|8924|40712|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q13748	TUBA3C	0|0|0|0	0	0.00	4	44230|37399|23137|25056|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q6PEY2	TUBA3E	0|0|0|0	0	0.00	4	44230|37399|23137|25056|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q9NY65	TUBA8	0|0|0|0	0	0.00	4	42244|43387|13956|15460|0|0|219|0|0|0|0|0|230|0|190|249|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
