Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
HCC827_EGFR	Q5JWF2	GNAS	0|15707|19222|25438	60367	15091.75	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	-0.32	150917.50	0.00	
HCC827_EGFR	P63092	GNAS	0|15707|19222|25438	60367	15091.75	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	-0.32	150917.50	0.00	
HCC827_EGFR	P38405	GNAL	0|15707|19222|25438	60367	15091.75	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	-0.32	150917.50	0.00	
HCC827_EGFR	P04899	GNAI2	0|15707|19222|25438	60367	15091.75	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	-0.32	150917.50	0.00	
HCC827_EGFR	A8MTJ3	GNAT3	0|15707|19222|25438	60367	15091.75	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	-0.32	150917.50	0.00	
HCC827_EGFR	P08754	GNAI3	0|15707|19222|25438	60367	15091.75	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	-0.32	150917.50	0.00	
HCC827_EGFR	P09471	GNAO1	0|15707|19222|25438	60367	15091.75	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	-0.32	150917.50	0.00	
HCC827_EGFR	P19087	GNAT2	0|15707|19222|25438	60367	15091.75	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	-0.32	150917.50	0.00	
HCC827_EGFR	P63096	GNAI1	0|15707|19222|25438	60367	15091.75	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	-0.32	150917.50	0.00	
HCC827_EGFR	P11488	GNAT1	0|15707|19222|25438	60367	15091.75	4	0|0|0|0	0.75	1.00	0.75	1.00	0.75	-0.32	150917.50	0.00	
HCC827_EGFR	Q92569	PIK3R3	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q8NF37	LPCAT1	141|149|36920|52278	23952	5988.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	205.00	59880.00	0.00	
HCC827_EGFR	Q6Y7W6	GIGYF2	0|0|33921|41763	10148	2537.00	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	25370.00	0.09	
HCC827_EGFR	P49757	NUMB	10103|0|0|0	10103	2525.75	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	25257.50	0.31	
HCC827_EGFR	Q9Y6R0	NUMBL	10103|0|0|0	10103	2525.75	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	25257.50	0.31	
HCC827_EGFR	P37235	HPCAL1	11543|14493|14658|17990	58684	14671.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	146710.00	0.00	
HCC827_EGFR	P61601	NCALD	11543|14493|14658|17990	58684	14671.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	146710.00	0.00	
HCC827_EGFR	P84074	HPCA	11543|14493|14658|17990	58684	14671.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	146710.00	0.00	
HCC827_EGFR	Q53GA4	PHLDA2	155|17009|17893|149	35206	8801.50	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	216.30	88015.00	0.00	
HCC827_EGFR	Q63ZY3	KANK2	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q6PIJ6	FBXO38	0|10460|0|0	10460	2615.00	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	26150.00	0.31	
HCC827_EGFR	Q15257	PPP2R4	1711|1637|38832|64489	41133	10283.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	102832.50	0.00	
HCC827_EGFR	Q96BR5	COA7	26464|27431|26450|33087	47896	11974.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	119740.00	0.00	
HCC827_EGFR	P14923	JUP	123|125|0|0	248	62.00	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	620.00	0.09	
HCC827_EGFR	P35222	CTNNB1	15277|15643|0|0	30920	7730.00	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	77300.00	0.09	
HCC827_EGFR	Q8IV45	UNC5CL	19760|61705|62275|44393	57061	14265.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	142652.50	0.00	
HCC827_EGFR	Q86VU5	COMTD1	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q9C0F3	ZNF436	23708|62563|48526|45310	49035	12258.75	4	20271|65050|0|0	0.75	1.00	0.75	1.00	0.75	-9.82	2.48	0.06	
HCC827_EGFR	Q69YG0	TMEM42	0|0|0|0	0	0.00	4	52160|63090|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.46	
HCC827_EGFR	O94808	GFPT2	0|64169|0|0	64169	16042.25	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	160422.50	0.31	
HCC827_EGFR	Q03989	ARID5A	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P30825	SLC7A1	0|0|0|42829	42829	10707.25	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	107072.50	0.31	
HCC827_EGFR	Q9NU02	ANKEF1	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q9UBF8	PI4KB	11179|52375|0|0	63554	15888.50	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	158885.00	0.09	
HCC827_EGFR	Q9BWG4	SSBP4	0|25182|0|0	25182	6295.50	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	62955.00	0.31	
HCC827_EGFR	Q9Y6F6	MRVI1	218|6639|468|521	7846	1961.50	4	399|280|0|0	0.25	1.00	0.25	1.00	0.25	-285.18	11.56	0.41	
HCC827_EGFR	Q96JB1	DNAH8	58819|581|0|0	59400	14850.00	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	148500.00	0.09	
HCC827_EGFR	P06702	S100A9	0|0|0|9875	9875	2468.75	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	24687.50	0.31	
HCC827_EGFR	Q99575	POP1	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q9H069	LRRC48	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	P60953	CDC42	27227|28857|0|0	56084	14021.00	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	140210.00	0.09	
HCC827_EGFR	Q03001	DST	25515|53241|1494|25717	40431	10107.75	4	0|57491|0|23122	0.75	1.00	0.75	1.00	0.75	-inf	2.68	0.07	
HCC827_EGFR	Q9UPN3	MACF1	25515|53241|1494|25717	40431	10107.75	4	0|57491|0|23122	0.75	1.00	0.75	1.00	0.75	-inf	2.68	0.07	
HCC827_EGFR	Q5VZP5	DUSP27	0|0|0|60532	60532	15133.00	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	151330.00	0.31	
HCC827_EGFR	A6NCF5	KLHL33	50891|45332|39570|30418	35139	8784.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	87847.50	0.00	
HCC827_EGFR	A6NMZ7	COL6A6	48438|0|0|0	48438	12109.50	4	0|0|0|0	0.25	1.00	0.25	1.00	0.25	-0.32	121095.00	0.31	
HCC827_EGFR	P35498	SCN1A	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
